home,away,Referee,time,prevTimeDiff,HAccP,AAccP,hw,hd,hl,H goal Diff,aw,ad,al,A goal diff,y
Chelsea,West Brom,K Friend,15766.0,2.0,30.0,26.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,H
Man United,Norwich,N Swarbrick,15766.0,7.0,53.0,29.0,4.0,1.0,0.0,6.0,1.0,3.0,1.0,-4.0,H
Swansea,Newcastle,C Pawson,15766.0,5.0,29.0,21.0,2.0,1.0,2.0,-1.0,3.0,0.0,2.0,2.0,H
Everton,Reading,A Taylor,15766.0,3.0,28.0,20.0,1.0,2.0,2.0,-2.0,2.0,1.0,2.0,-2.0,H
Sunderland,Fulham,M Halsey,15766.0,7.0,21.0,22.0,1.0,1.0,3.0,-2.0,2.0,1.0,2.0,0.0,D
Wigan,Liverpool,M Atkinson,15766.0,7.0,19.0,33.0,1.0,2.0,2.0,-1.0,2.0,2.0,1.0,8.0,A
Southampton,QPR,H Webb,15766.0,6.0,23.0,15.0,1.0,2.0,2.0,-1.0,0.0,3.0,2.0,-5.0,A
Tottenham,Arsenal,M Clattenburg,15767.0,5.0,37.0,35.0,3.0,2.0,0.0,3.0,4.0,1.0,0.0,7.0,H
Aston Villa,Man City,M Dean,15768.0,9.0,19.0,41.0,1.0,2.0,2.0,-1.0,2.0,2.0,1.0,2.0,A
Norwich,Southampton,M Clattenburg,15773.0,7.0,26.0,23.0,1.0,3.0,1.0,-3.0,1.0,1.0,3.0,-2.0,D
QPR,Sunderland,M Jones,15773.0,7.0,17.0,21.0,1.0,2.0,2.0,-4.0,0.0,2.0,3.0,-3.0,H
Reading,Aston Villa,J Moss,15773.0,7.0,19.0,19.0,1.0,1.0,3.0,-5.0,1.0,1.0,3.0,-2.0,A
West Brom,Swansea,L Mason,15773.0,7.0,26.0,29.0,2.0,0.0,3.0,0.0,2.0,1.0,2.0,-2.0,H
Liverpool,Tottenham,M Oliver,15774.0,7.0,33.0,40.0,2.0,2.0,1.0,7.0,4.0,1.0,0.0,4.0,H
Newcastle,Stoke,A Marriner,15774.0,2.0,20.0,25.0,3.0,0.0,2.0,2.0,1.0,1.0,3.0,-2.0,H
Southampton,Liverpool,P Dowd,15780.0,7.0,24.0,35.0,1.0,2.0,2.0,-1.0,3.0,1.0,1.0,8.0,H
Aston Villa,QPR,K Friend,15780.0,7.0,21.0,20.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,-2.0,H
